Date,Benchmark
2012-01-20,5403.11
2012-01-23,5403.06
2012-01-24,5491.03
2012-01-25,5539.36
2012-01-27,5585.26
2012-01-30,5463.12
2012-01-31,5583.02
2012-02-01,5630.73
2012-02-02,5670.52
2012-02-03,5727.85
2012-02-06,5780.67
2012-02-07,5742.38
2012-02-08,5788.78
2012-02-09,5843.21
2012-02-10,5824.09
2012-02-13,5833.32
2012-02-14,5867.13
2012-02-15,5993.3
2012-02-16,5999.38
2012-02-17,6037.88
2012-02-21,6083.74
2012-02-22,5937.96
2012-02-23,5913.47
2012-02-24,5861.03
2012-02-27,5697.54
2012-02-28,5825.4
2012-02-29,5848.67
2012-03-01,5805.23
2012-03-02,5819.92
2012-03-03,5821.95
2012-03-05,5739.16
2012-03-06,5679.24
2012-03-07,5673.22
2012-03-09,5799.08
2012-03-12,5835.48
2012-03-13,5907.22
2012-03-14,5941.94
2012-03-15,5850.93
2012-03-16,5783.04
2012-03-19,5716.34
2012-03-20,5743.83
2012-03-21,5844.99
2012-03-22,5700.62
2012-03-23,5751.15
2012-03-26,5654.02
2012-03-27,5705.11
2012-03-28,5651.2
2012-03-29,5645.28
2012-03-30,5778.58
2012-04-02,5813.0
2012-04-03,5862.68
2012-04-04,5834.08
2012-04-09,5740.59
2012-04-10,5744.45
2012-04-11,5720.77
2012-04-12,5771.71
2012-04-13,5707.38
2012-04-16,5730.89
2012-04-17,5792.98
2012-04-18,5806.57
2012-04-19,5831.08
2012-04-20,5785.11
2012-04-23,5687.37
2012-04-24,5699.91
2012-04-25,5675.67
2012-04-26,5657.72
2012-04-27,5654.94
2012-04-28,5676.81
2012-04-30,5719.56
2012-05-02,5709.96
2012-05-03,5651.62
2012-05-04,5545.12
2012-05-07,5578.07
2012-05-08,5465.33
2012-05-09,5425.83
2012-05-10,5420.29
2012-05-11,5377.45
2012-05-14,5348.26
2012-05-15,5383.85
2012-05-16,5299.73
2012-05-17,5310.3
2012-05-18,5323.96
2012-05-21,5344.98
2012-05-22,5297.58
2012-05-23,5268.81
2012-05-24,5350.13
2012-05-25,5358.28
2012-05-28,5427.41
2012-05-29,5427.5
2012-05-30,5376.44
2012-05-31,5367.52
2012-06-01,5283.66
2012-06-04,5282.29
2012-06-05,5298.42
2012-06-06,5430.76
2012-06-07,5483.87
2012-06-08,5503.87
2012-06-11,5490.51
2012-06-12,5549.38
2012-06-13,5553.28
2012-06-14,5484.8
2012-06-15,5560.97
2012-06-18,5483.88
2012-06-19,5518.37
2012-06-20,5547.86
2012-06-21,5599.01
2012-06-22,5587.59
2012-06-25,5561.87
2012-06-26,5573.5
2012-06-27,5596.69
2012-06-28,5606.48
2012-06-29,5738.04
2012-07-02,5752.15
2012-07-03,5773.85
2012-07-04,5797.16
2012-07-05,5832.31
2012-07-06,5815.06
2012-07-09,5760.27
2012-07-10,5831.32
2012-07-11,5796.9
2012-07-12,5735.17
2012-07-13,5725.2
2012-07-16,5696.45
2012-07-17,5680.54
2012-07-18,5705.03
2012-07-19,5729.78
2012-07-20,5699.08
2012-07-23,5608.88
2012-07-24,5623.51
2012-07-25,5600.2
2012-07-26,5519.67
2012-07-27,5553.73
2012-07-30,5658.81
2012-07-31,5689.6
2012-08-01,5711.31
2012-08-02,5707.53
2012-08-03,5694.03
2012-08-06,5753.96
2012-08-07,5801.24
2012-08-08,5795.31
2012-08-09,5779.93
2012-08-10,5775.56
2012-08-13,5811.91
2012-08-14,5843.28
2012-08-16,5827.79
2012-08-17,5829.37
2012-08-21,5876.66
2012-08-22,5865.26
2012-08-23,5863.48
2012-08-24,5833.16
2012-08-27,5790.56
2012-08-28,5764.91
